Project	Fully-Qualified Class Name	Module	Description
client	com.l3com.apps.adjustrqmts.managers.AdjustRequirementsManager.java	Adjust Requirements	Performs communication with the server using the HTTPS protocol. Marshals outgoing messages (Java objects) to an XML representation. Unmarshals incoming messages from XML to Java objects
client	com.l3com.apps.adjustrqmts.managers.AdjustRequirementsRepository.java	Adjust Requirements	Performs communication with the server using the HTTPS protocol. Marshals outgoing messages (Java objects) to an XML representation. Unmarshals incoming messages from XML to Java objects
client	com.l3com.apps.adjustrqmts.security.AppendRequirementsSecurityManager.java	Adjust Requirements	Performs communication with the server using the HTTPS protocol. Marshals outgoing messages (Java objects) to an XML representation. Unmarshals incoming messages from XML to Java objects
client	com.l3com.apps.allocation.AllocationConstants.java	Allocation	A set of constant values for use in the module
client	com.l3com.apps.allocation.controllers.AllocationController.java	Allocation	A controller that follows the Model-View-Controller pattern to coordinate communication between the view and the model
client	com.l3com.apps.allocation.data.GetSet.java	Allocation	"A utility class containing accessor and mutator methods for an object. ""GetSet""classes are used by both view and model classes. In views, they provide the rendered (or user-friendly) value for each of an object's fields. In models, they provide the raw value for each field. If a field is editable by the user, a GetSet class provides ""reverse-translation""between what the user enters and the allowable values and/or data types for a field."
client	com.l3com.apps.allocation.data.ResourceAllocationWrapper.java	Allocation	Adds extra functionality to JAXB-generated classes by compositing a JAXB message object within a wrapper object. Common functionality provided by wrapper classes includes boolean flags that indicate whether an object is selected within a list or table.
client	com.l3com.apps.allocation.gui.AllocationMainWindow.java	Allocation	"An extension of javax.swing.JInternalFrame that fulfills the role of view in the Model-View-Controller pattern. Internal frames are displayed within the APPS desktop, and support tiling, resizing, minimizing, and maximizing. They contain other Swing components, such as JPanels and JScrollPanes, to organize the module's user interface widgets"
client	com.l3com.apps.allocation.gui.components.AllocationFilterPanel.java	Allocation	"An extension of javax.swing.JPanel that contains user interface components such as text boxes, buttons, and dropdown boxes. Tabs are used to organize and lay out information within a module"
client	com.l3com.apps.allocation.gui.filter.AllocationsTableModel.java	Allocation	An implementation of the javax.swing.table.TableModel interface. Supplied to a javax.swing.JTable as the model component of the underlying MVC architecture used by Java Swing components
client	com.l3com.apps.allocation.gui.filter.ResourceAllocationFilterPopup.java	Allocation	A graphical component that displays the filters that can be applied to a table column.
client	com.l3com.apps.allocation.gui.filter.ResourceAllocationFilterRow.java	Allocation	A row in a FilterPopup table that contains a checkbox and a value that can be applied as a table filter by checking or unchecking the checkbox.
client	com.l3com.apps.allocation.gui.filter.ResourceAllocationTableSorter.java	Allocation	Contains the logic for how to compare and sort the objects in a table based on the sort criteria the user has applied to the table's columns
client	com.l3com.apps.allocation.gui.listeners.YearSelectionListener.java	Allocation	"An interface that is implemented by a module's controller, and whose method is called by a module's view when a predefined user action occurs"
client	com.l3com.apps.allocation.gui.models.DynamicUpdatePercentageTableModel.java	Allocation	An implementation of the javax.swing.table.TableModel interface. Supplied to a javax.swing.JTable as the model component of the underlying MVC architecture used by Java Swing components
